id,session_id,language,culture_circle,category,question,answer,question_zh,answer_zh,source_url,source_url_desc
ES-01,ES-01,es-ES,Spanish,History and Collective Memory,¿Cuándo empezó a entrar el vocabulario francés en el español?,Siglo 11,法语词汇开始进入西班牙语是什么时候？,11世纪,https://baike.baidu.com/item/%E8%A5%BF%E7%8F%AD%E7%89%99%E8%AF%AD/398390,百度百科
ES-02,ES-02,es-ES,Hispanic,History and Collective Memory,¿Cuándo permitieron los visigodos a los nativos de la península ibérica casarse con ellos?,585DC,西哥特人什么时候开始允许伊比利亚半岛原住民与其通婚？,585年,《西班牙-拉美文化概况》,《西班牙-拉美文化概况》
ES-03,ES-03,es-ES,Spanish,Cultural Products and Symbols,¿Cuál fue la primera novela publicada después de la Guerra Civil española?,La Familia De Pascual Duarte,西班牙内战后出版的第一部小说,《杜斯库亚尔 杜阿尔特的一家》,https://baike.baidu.com/item/%E8%A5%BF%E7%8F%AD%E7%89%99%E6%88%98%E5%90%8E%E5%B0%8F%E8%AF%B4/55538614,百度百科
ES-05,ES-05,es-ES,Latin American,Social Norms and Customs,"¿Qué es la ceremonia los Andes tiene lugar cuando los campos empiezan a florecer:las mujeres recogen flores, sumergen en el río y con la mezcla que obtienen mujan la cabeza de las personas?",Tumarina,安第斯地区的土著仪式是什么？当田野开始开花时：妇女们摘花，把它们浸入河里，用她们得到的混合物洗头。,,西班牙语阅读教程,
ES-06,ES-06,es-ES,Hispanic,Social Norms and Customs,¿Sabes con qué criterios se juzga al campeón de la Competencia de Sueño de España?,"Se determina según el pulso, el estilo de la pijama, los ronquidos del concursante dormido, entre otros factores.",你知道西班牙睡眠大赛用什么标准评判冠军吗？,根据参赛者睡着时的脉搏、睡衣样式、鼾声等判断。,https://zhuanlan.zhihu.com/p/442858413,知乎
ES-07,ES-07,es-ES,Spanish,History and Collective Memory,¿Cuál fue el acontecimiento de la historia de España que resolvió el conflicto histórico entre latinos y godos en el país?,"En el año 589 d.C., el rey visigodo Recaled I llevó a la nobleza visigoda al catolicismo romano",西班牙历史上解决国内拉丁人和哥特人的历史冲突的事件是？,公元589年西哥特国王雷卡雷德一世带领西哥特贵族皈依罗马天主教,https://zhuanlan.zhihu.com/p/491007763?share_code=Y39Ncyk6g4Zg&utm_psn=1972813199247164453,知乎
ES-09,ES-09,es-ES,Spanish,Language Expression and Communication Arts,¿Cuándo empezó a usarse la palabra modismo en España?,Siglo 18,西班牙什么时候开始使用modismo这个词？,18世纪,,西班牙语词汇学导论
ES-10,ES-10,es-ES,Latin American,Language Expression and Communication Arts,¿Cuál es el cuerpo del vocabulario español en América？,Vocabulario heredado y creado: La suma de palabras heredadas del español peninsular desde el siglo XVI en adelante y palabras creadas sobre su base,美洲西班牙语词汇的主体是？,继承和创造的词汇：16世纪起从半岛西班牙语（卡斯蒂利亚语）中继承的词汇和以此为基础创造的词汇的总成,,西班牙语词汇学导论
ES-11,ES-11,es-ES,Hispanic,Language Expression and Communication Arts,¿En qué regiones de América Latina se prefiere el leísmo en lugar del loísmo?,"Antillas, Altiplano de Bolivia y Chile.",拉美喜欢leismo而非loísmo的地区有哪些？,安德烈斯群岛、玻利维亚山区和智利,,《西班牙语词汇导论》
ES-13,ES-13,es-ES,Spanish,"Beliefs, Values, and Knowledge Systems",¿Qué estableció el Imperio español como espíritu nacional en el siglo XVI?,Universalismo católico,16世纪，西班牙帝国将什么确立为国家精神？,天主教普世主义,"https://baike.baidu.com/item/%E8%A5%BF%E7%8F%AD%E7%89%99%E5%A4%A9%E4%B8%BB%E6%95%99/1560091#:~:text=15%E4%B8%96%E7%BA%AA%E5%A4%A9%E4%B8%BB%E6%95%99%E5%8F%8C%E7%8E%8B%E9%80%9A%E8%BF%87%E5%AE%97%E6%95%99%E8%A3%81%E5%88%A4%E6%89%80%E5%92%8C%E7%BA%AF%E6%B4%81%E8%A1%80%E7%BB%9F%E8%BF%90%E5%8A%A8%E5%BC%BA%E5%8C%96%E5%9B%BD%E6%95%99%E5%9C%B0%E4%BD%8D%EF%BC%8C16%E4%B8%96%E7%BA%AA%E8%A5%BF%E7%8F%AD%E7%89%99%E5%B8%9D%E5%9B%BD%E5%B0%86%E5%A4%A9%E4%B8%BB%E6%95%99%E6%99%AE%E4%B8%96%E4%B8%BB%E4%B9%89%E7%A1%AE%E7%AB%8B%E4%B8%BA%E5%9B%BD%E5%AE%B6%E7%B2%BE%E7%A5%9E%E3%80%82,18%E4%B8%96%E7%BA%AA%E5%90%AF%E8%92%99%E6%80%9D%E6%83%B3%E4%B8%8E%E5%AE%97%E6%95%99%E4%BC%A0%E7%BB%9F%E4%BA%A7%E7%94%9F%E5%86%B2%E7%AA%81%EF%BC%8C19%E4%B8%96%E7%BA%AA%E8%87%AA%E7%94%B1%E6%B4%BE%E4%B8%8E%E4%BC%A0%E7%BB%9F%E6%B4%BE%E5%9B%B4%E7%BB%95%E5%AE%97%E6%95%99%E8%AE%A4%E5%90%8C%E5%B1%95%E5%BC%80%E5%8D%9A%E5%BC%88%EF%BC%8C20%E4%B8%96%E7%BA%AA%E4%BD%9B%E6%9C%97%E5%93%A5%E6%94%BF%E6%9D%83%E6%8E%A8%E8%A1%8C%E6%B0%91%E6%97%8F%E5%A4%A9%E4%B8%BB%E6%95%99%E4%B8%BB%E4%B9%89%E4%BD%9C%E4%B8%BA%E6%84%8F%E8%AF%86%E5%BD%A2%E6%80%81%E5%B7%A5%E5%85%B7%E3%80%82",百度百科
